68152,2481811,0.08931,0.16962,0.74107,0.00015,0.00111,0.00338,0.99536,0.12354,0.46840,0.00645,2019-09-25
69552,7259,0.98884,0.00331,0.00785,0.00000,0.00014,0.02342,0.97644,0.03386,0.25795,0.00276,2019-09-25
69601,377952,0.99085,0.00223,0.00692,0.00001,0.00007,0.01625,0.98366,0.01153,0.12027,0.00145,2019-09-25
66885,360662,0.08772,0.19932,0.71296,0.00003,0.00789,0.02817,0.96391,0.05205,0.11371,0.00190,2019-09-25
67102,26761,0.08968,0.17529,0.73502,0.00000,0.00766,0.02504,0.96730,0.03031,0.00000,0.00067,2019-09-25
66213,343187,0.08893,0.19878,0.71229,0.00004,0.00032,0.00090,0.99874,0.05052,0.11214,0.00207,2019-09-25
69615,2611,0.98162,0.00191,0.01647,0.00000,0.00038,0.18001,0.81961,0.00000,0.37081,0.00306,2019-09-25
66899,471,0.01911,0.23355,0.74735,0.00000,0.06794,0.05520,0.87686,0.09531,0.58525,0.00425,2019-09-252019-09-25_9.csv
66178,16842,0.08520,0.21084,0.70395,0.00012,0.00101,0.00309,0.99578,0.14680,0.41903,0.00843,2019-09-25
68194,747600,0.08812,0.19995,0.71194,0.00003,0.00784,0.02831,0.96381,0.05656,0.12070,0.00189,2019-09-25
66248,382762,0.08745,0.19975,0.71279,0.00004,0.00799,0.02879,0.96318,0.05692,0.20488,0.00248,2019-09-25
67207,1665852,0.07846,0.16054,0.76100,0.00019,0.00217,0.00638,0.99126,0.14857,0.67913,0.00697,2019-09-25
67382,425643,0.03059,0.14525,0.82416,0.00011,0.32230,0.10089,0.57670,0.48087,0.53745,0.01446,2019-09-25
67172,9,0.11111,0.44444,0.44444,0.00000,0.22222,0.11111,0.66667,1.00000,0.67813,0.55556,2019-09-25
69461,4507,0.95895,0.00688,0.03417,0.00022,0.00111,0.21988,0.77879,0.00133,0.42902,0.00954,2019-09-25
66619,356502,0.00658,0.13948,0.85393,0.00005,0.05466,0.08047,0.86481,0.17891,0.47425,0.00356,2019-09-25
69517,822,0.97689,0.00243,0.02068,0.00000,0.00000,0.13017,0.86983,0.02568,0.86960,0.01703,2019-09-25
67193,416250,0.07820,0.15985,0.76195,0.00019,0.00206,0.00658,0.99117,0.14840,1.00000,0.00836,2019-09-25
66850,20596,0.07880,0.20815,0.71305,0.00024,0.01092,0.04418,0.94465,0.14427,0.38850,0.01054,2019-09-25
69482,303875,0.99488,0.00127,0.00385,0.00000,0.00005,0.02047,0.97948,0.01860,0.23470,0.00174,2019-09-25
64085,422,0.01422,0.20379,0.78199,0.00000,0.01659,0.05213,0.93128,0.07162,0.51962,0.00948,2019-09-25
66913,354598,0.08708,0.20158,0.71134,0.00005,0.00804,0.02935,0.96257,0.05908,0.12598,0.00224,2019-09-25
66885,360662,0.08812,0.19925,0.71264,0.00002,0.00803,0.02811,0.96384,0.048262473449457555,0.1137109430731916,0.00190,2019-09-25
67102,26761,0.08991,0.17522,0.73488,0.00000,0.00792,0.02489,0.96719,0.0,0.0,0.00067,2019-09-25
66899,471,0.01911,0.23355,0.74735,0.02760,0.06794,0.05096,0.85350,0.14426517509978942,0.5852475388785847,0.00425,2019-09-25
67207,1665852,0.07924,0.16034,0.76042,0.00017,0.00099,0.00252,0.99632,0.2624660678992639,0.6791268369239549,0.00697,2019-09-25
67382,425643,0.03090,0.14514,0.82395,0.00012,0.32296,0.09897,0.57795,1.0,0.5374518476244828,0.01446,2019-09-25
67193,416250,0.07898,0.15967,0.76135,0.00023,0.00089,0.00251,0.99638,0.2621034488485692,1.0,0.00836,2019-09-25
66850,20596,0.08065,0.20727,0.71208,0.00078,0.01054,0.04229,0.94640,0.2529309399860858,0.3885004993579683,0.01054,2019-09-25
66913,354598,0.08758,0.20146,0.71096,0.00003,0.00814,0.02919,0.96263,0.0638504791554021,0.12598088172349836,0.00224,2019-09-25
