,L_mcrsvrmcrmres,L_mngsvrmngmres,L_mcrsvrallcode,L_mcrsvrcode4xxRateFail,L_mcrsvrcode5xxRateFail,L_mngsvrallcode,L_mngsvrcode4xxRateFail,L_mngsvrcode5xxRateFail,L_mjssvrcode5xxRateFail,L_mjssvrallcode,L_mjssvrcode4xxRateFail
1558012200,247.568,243.516,10644.0,2.0105,0.0,73968.0,1.064,0.0446,0.0,29493.0,2.3599
1558012500,231.145,245.202,10060.0,1.6203,0.0,57761.0,1.3608,0.0398,0.0,22936.0,2.9779
1558012800,192.868,260.0,10115.0,1.5126,0.0,50405.0,1.2737,0.0397,0.0,20138.0,3.1731
1558013100,190.932,240.752,10459.0,1.2621,0.0,47748.0,1.5477,0.0335,0.0,17115.0,3.7569
1558013400,245.0,249.731,30586.0,0.7324,0.0,107198.0,0.8974,0.0392,0.0,38032.0,1.9115
1558013700,196.054,219.035,27035.0,1.5166,0.0,158396.0,0.7443,0.0455,0.0,53560.0,1.3013
1558014000,196.054,219.035,27035.0,1.5166,0.0,158396.0,0.7443,0.0455,0.0,53560.0,1.3013
1558014300,214.0,226.689,9521.0,1.733,0.0,49527.0,1.8111,0.0384,0.0,17273.0,4.0584
1558014600,211.048,233.874,10932.0,1.2623,0.0,50353.0,1.412,0.0536,0.0,20542.0,3.6705
1558014900,181.759,223.0,12559.0,1.0431,0.0,58234.0,1.5712,0.0429,0.0,17888.0,4.176
1558015200,207.0,227.015,44932.0,0.6098,0.0,165578.0,0.6909,0.0344,0.0,58660.0,1.2922
1558015500,225.0,242.655,35060.0,1.4718,0.0,219806.0,0.6424,0.0255,0.0954,83849.0,0.7597
1558015800,198.67,228.862,11157.0,1.685,0.0,83320.0,1.169,0.0444,0.0,31446.0,2.1752
1558016100,235.01,233.292,9966.0,1.174,0.0,61536.0,1.8835,0.0358,0.0,20925.0,3.1207
1558016400,190.356,231.375,10196.0,1.1769,0.0,55356.0,1.6005,0.0397,0.0,19996.0,2.9256
1558016700,201.926,228.058,10206.0,1.5187,0.0,53446.0,2.0151,0.0337,0.0,16842.0,3.705
1558017000,188.102,219.789,28117.0,0.6935,0.0,98797.0,1.0851,0.0304,0.0,33867.0,1.7982
1558017300,202.534,223.0,25850.0,1.207,0.0,145906.0,0.9294,0.0322,0.0019,51402.0,1.1342
1558017600,202.534,223.0,25850.0,1.207,0.0,145906.0,0.9294,0.0322,0.0019,51402.0,1.1342
1558017900,195.4,232.0,8545.0,1.4394,0.0,50384.0,2.207,0.0099,0.0,15582.0,4.1651
1558018200,178.0,225.595,11228.0,1.3983,0.0,51793.0,1.6585,0.0405,0.0,18297.0,3.5798
1558018500,198.136,240.138,11644.0,1.0649,0.0,57500.0,1.8296,0.0226,0.0,16436.0,3.8574
1558018800,191.426,225.0,40409.0,0.7053,0.0,150160.0,0.8324,0.0273,0.0,55671.0,1.1245
1558019100,220.658,254.226,32249.0,1.2217,0.0,212713.0,0.7235,0.0179,0.0,80275.0,0.735
1558019400,165.0,212.646,10252.0,2.0191,0.0,86485.0,1.354,0.0104,0.0,29384.0,2.3006
1558019700,182.285,218.0,8433.0,2.2056,0.0,57304.0,2.293,0.0279,0.0,18697.0,3.7493
1558020000,182.0,232.0,9227.0,2.135,0.0,49895.0,1.908,0.01,0.0,16934.0,3.5373
1558020300,226.875,254.253,9803.0,1.0099,0.0,48444.0,2.4833,0.0083,0.0,14793.0,4.4413
1558020600,187.261,231.365,24612.0,0.6501,0.0,85404.0,1.3067,0.0328,0.0,29841.0,2.2084
1558020900,202.447,235.946,22406.0,1.147,0.0,117565.0,1.1645,0.0213,0.0,43279.0,1.4557
1558021200,178.075,237.0,8851.0,1.4349,0.0,54196.0,1.8359,0.0277,0.0,18016.0,3.6801
1558021500,210.0,229.386,7539.0,2.0958,0.0,44655.0,2.5283,0.0291,0.0,13247.0,4.7784
1558021800,170.66,263.0,9332.0,1.811,0.0,41715.0,1.9825,0.012,0.0,14809.0,3.9841
1558022100,205.846,221.11,10388.0,1.2418,0.0,47818.0,2.2209,0.0105,0.0,13702.0,3.9994
1558022400,167.71,223.227,28847.0,0.936,0.0,102786.0,1.0186,0.0224,0.0,37251.0,1.5141
