,B_mngsvrcode5xxRateFail,W_mngsvrcode5xxRateFail,I_mngsvrcode5xxRateFail,AI_mngsvrcode5xxRateFail,IJ_mngsvrcode5xxRateFail,IE_mngsvrcode5xxRateFail,S_mngsvrcode5xxRateFail,AC_mngsvrcode5xxRateFail,L_mngsvrcode5xxRateFail,R_mngsvrcode5xxRateFail,M_mngsvrcode5xxRateFail,AA_mngsvrcode5xxRateFail,AB_mngsvrcode5xxRateFail,IA_mngsvrcode5xxRateFail,AS_mngsvrcode5xxRateFail,AP_mngsvrcode5xxRateFail
1557417600,0.03345,0.035649999999999994,0.034866666666666664,0.030366666666666667,0.0405,0.0368,0.02753333333333333,0.0277,0.023750000000000004,0.036050000000000006,0.021416666666666667,0.04966666666666667,0.026149999999999996,0.0,0.05681666666666666,0.0
1557419400,0.021733333333333337,0.020983333333333336,0.026166666666666668,0.011049999999999999,0.01855,0.03893333333333333,0.030916666666666665,0.02603333333333333,0.02435,0.04178333333333333,0.020900000000000002,0.02695,0.02256666666666667,0.0,0.0257,0.0
1557421200,0.027766666666666665,0.0049833333333333335,0.0014333333333333333,0.020599999999999997,0.0356,0.05056666666666667,0.028000000000000008,0.01995,0.022166666666666668,0.016983333333333333,0.018183333333333333,0.02255,0.042449999999999995,0.0,0.02716666666666667,0.0
1557423000,0.01728333333333333,0.018666666666666668,0.0,0.026649999999999997,0.03803333333333333,0.04763333333333333,0.022650000000000003,0.02345,0.029866666666666666,0.022216666666666666,0.022216666666666666,0.03446666666666667,0.01993333333333333,0.0,0.05823333333333333,0.0
1557424800,0.03208333333333333,0.01576666666666667,0.017616666666666666,0.005033333333333333,0.03266666666666667,0.029416666666666664,0.027516666666666665,0.023966666666666667,0.040916666666666664,0.030266666666666664,0.03141666666666667,0.02505,0.023283333333333333,0.0,0.04953333333333334,0.0
1557426600,0.06431666666666667,0.0351,0.009866666666666668,0.07326666666666667,0.01945,0.022966666666666666,0.025349999999999998,0.034633333333333335,0.017533333333333335,0.029783333333333332,0.035366666666666664,0.04061666666666667,0.024699999999999996,0.0,0.03261666666666666,0.0
1557428400,0.01575,0.02055,0.020566666666666667,0.11454999999999999,0.01821666666666667,0.03903333333333333,0.02613333333333333,0.02605,0.014199999999999999,0.06398333333333334,0.027149999999999997,0.030333333333333334,0.019966666666666664,0.0,0.09536666666666667,0.0
1557430200,0.036116666666666665,0.014366666666666666,0.005633333333333333,0.02816666666666667,0.010950000000000001,0.037083333333333336,0.020300000000000002,0.027933333333333334,0.024349999999999997,0.0468,0.016366666666666668,0.025166666666666667,0.018566666666666665,0.0,0.04058333333333333,0.0
1557432000,0.026649999999999997,0.018333333333333333,0.0,0.018699999999999998,0.038016666666666664,0.035616666666666665,0.027633333333333333,0.025233333333333333,0.02265,0.045899999999999996,0.016433333333333335,0.024566666666666667,0.02295,0.0,0.05253333333333333,0.0
1557433800,0.021683333333333336,0.0076,0.014416666666666666,0.015333333333333332,0.016733333333333333,0.024133333333333336,0.019916666666666666,0.012666666666666666,0.008266666666666667,0.02445,0.014733333333333334,0.027783333333333337,0.020183333333333334,0.0,0.012083333333333333,0.0
1557435600,0.015533333333333335,0.03291666666666667,0.012566666666666665,0.006066666666666667,0.022383333333333335,0.027149999999999997,0.026883333333333332,0.015683333333333334,0.010116666666666668,0.023266666666666668,0.014583333333333335,0.010016666666666667,0.010833333333333334,0.0,0.0358,0.0
1557437400,0.031466666666666664,0.0,0.019033333333333333,0.03743333333333333,0.009733333333333333,0.025900000000000003,0.014616666666666667,0.011166666666666667,0.0131,0.017150000000000002,0.011983333333333334,0.017466666666666665,0.01305,0.0,0.0289,0.0
1557439200,0.08234999999999999,0.013533333333333333,0.013066666666666666,0.07181666666666667,0.02391666666666667,0.017,0.01693333333333333,0.019116666666666667,0.021033333333333334,0.0,0.011433333333333332,0.02376666666666667,0.020350000000000004,0.0,0.020233333333333336,0.0
1557441000,0.013966666666666667,0.029133333333333334,0.0,0.016083333333333335,0.012133333333333335,0.019133333333333332,0.0155,0.013383333333333332,0.0034166666666666664,0.005033333333333333,0.0,0.014400000000000001,0.00935,0.0,0.0406,0.0
1557442800,0.014016666666666665,0.0,0.0,0.0,0.012333333333333333,0.022566666666666665,0.028983333333333333,0.0183,0.0047666666666666664,0.020216666666666668,0.009,0.018433333333333333,0.003766666666666667,0.0,0.10298333333333333,0.0
1557444600,0.0077333333333333325,0.0,0.006283333333333333,0.0,0.0,0.025599999999999998,0.016016666666666665,0.01975,0.015283333333333335,0.0,0.0029666666666666665,0.019,0.0151,0.0,0.03691666666666666,0.0
1557446400,0.010116666666666668,0.01968333333333333,0.00345,0.0,0.054049999999999994,0.0266,0.013316666666666666,0.012766666666666667,0.020133333333333333,0.05711666666666668,0.0,0.018966666666666666,0.010216666666666667,0.0,0.023533333333333333,0.0
1557448200,0.01525,0.008883333333333333,0.0,0.0,0.0355,0.036033333333333334,0.01545,0.017583333333333336,0.0117,0.0,0.015883333333333333,0.023933333333333334,0.015283333333333335,0.0,0.02215,0.0
1557450000,0.0068000000000000005,0.004516666666666666,0.0,0.0,0.02395,0.036399999999999995,0.011733333333333332,0.02588333333333333,0.032183333333333335,0.0,0.011483333333333332,0.033299999999999996,0.029249999999999998,0.0,0.03941666666666666,0.0
1557451800,0.006683333333333333,0.01796666666666667,0.015266666666666664,0.011466666666666667,0.016783333333333334,0.01763333333333333,0.015933333333333334,0.008266666666666667,0.014866666666666665,0.012016666666666667,0.025033333333333335,0.018533333333333332,0.010183333333333334,0.0,0.030766666666666668,0.0
1557453600,0.010783333333333334,0.015883333333333333,0.0,0.014416666666666666,0.008016666666666667,0.044733333333333326,0.014033333333333333,0.01645,0.00865,0.011866666666666666,0.011099999999999999,0.011183333333333332,0.016783333333333334,0.0,0.026083333333333333,0.0
1557455400,0.010933333333333335,0.017983333333333334,0.0064333333333333334,0.020033333333333334,0.0,0.03481666666666667,0.023750000000000004,0.019350000000000003,0.0289,0.01145,0.005083333333333333,0.010366666666666666,0.0,0.0,0.017833333333333333,0.0
1557457200,0.017499999999999998,0.0184,0.0,0.008183333333333332,0.0,0.031849999999999996,0.020266666666666665,0.0197,0.021666666666666667,0.011933333333333332,0.005233333333333333,0.027499999999999997,0.008816666666666665,0.0,0.04235,0.0
1557459000,0.030533333333333332,0.028766666666666666,0.006016666666666667,0.024999999999999998,0.011966666666666667,0.0276,0.004633333333333333,0.02641666666666666,0.01801666666666667,0.0,0.02125,0.024866666666666665,0.013249999999999998,0.0,0.05946666666666667,0.0
1557460800,0.006483333333333334,0.022616666666666663,0.01625,0.022966666666666666,0.020883333333333337,0.04548333333333334,0.0197,0.03441666666666667,0.04181666666666667,0.023733333333333332,0.014216666666666667,0.02391666666666667,0.021166666666666667,0.0,0.04485,0.0
1557462600,0.014516666666666666,0.03728333333333333,0.0062,0.057883333333333335,0.028816666666666668,0.04900000000000001,0.018600000000000002,0.024116666666666665,0.011216666666666666,0.0,0.014633333333333332,0.03258333333333333,0.009583333333333333,0.0,0.06879999999999999,0.0
1557464400,0.036566666666666664,0.055400000000000005,0.024966666666666668,0.04785,0.02835,0.07738333333333332,0.0039499999999999995,0.03816666666666667,0.04808333333333333,0.0103,0.010833333333333334,0.03436666666666666,0.015966666666666667,0.0,0.055233333333333336,0.023133333333333336
1557466200,0.034916666666666665,0.029433333333333336,0.02485,0.05965,0.04763333333333333,0.08628333333333332,0.005716666666666666,0.04033333333333333,0.05046666666666667,0.0,0.004516666666666666,0.029599999999999998,0.003933333333333333,0.0,0.05521666666666667,0.0
1557468000,0.02215,0.024249999999999997,0.028766666666666666,0.03378333333333333,0.02755,0.11961666666666666,0.00715,0.04268333333333333,0.06593333333333333,0.021400000000000002,0.03345,0.020733333333333333,0.014716666666666664,0.0,0.045466666666666676,0.0
1557469800,0.007833333333333333,0.04946666666666666,0.03793333333333333,0.035899999999999994,0.01155,0.11126666666666668,0.010366666666666666,0.0408,0.07075,0.021083333333333332,0.010833333333333334,0.03451666666666667,0.009816666666666666,0.0,0.0509,0.0
